Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Keypom,,,,TRUE,,,,,,,https://keypom.xyz/,https://twitter.com/keypomxyz,@keypomxyz; https://twitter.com/keypomxyz,https://t.me/+OqI-cKxQU05lZDIx,Utilities; Developer Tooling,,,❌ Not found,,,,,NEAR; near,NEARCatalog,A suite of Web3 onboarding tools built on NEAR,website-scan: scanned
Kyberswap,TRUE,,,,,,,,,,https://kyber.network/,https://twitter.com/kybernetwork,@kybernetwork; https://twitter.com/kybernetwork,https://t.me/kybernetwork,Dapp; NEAR Intents; DeFi; DEX,,,Active; ✅ Found,Kyber Network,id1752051399-2_FDY74USJGTks3IFU1MXA,https://kyber.network; https://admin.thegrid.id/profiles/?rootId=id1752051399-2_FDY74USJGTks3IFU1MXA,url; URL: urlMain,NEAR; near,NEARCatalog,Multi-chain DeFi liquidity hub | Grid confirms: USDT | [PROMOTED from website-scan] web3 signals (swap; bridge; dex; liquidity; yield),Grid: USDT (supported_by) | website-scan: scanned | promoted: website-scan
Token Bridge,,,,TRUE,,,,,,,http://tokenbridge.app,https://x.com/TokenBridgeApp,@TokenBridgeApp; https://x.com/TokenBridgeApp,,Infrastructure; Bridge; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog; CoinGecko,User-friendly NEAR Protocol and Solana | Grid match cleared (false positive: matched Token) | Solana deployment (CoinGecko),SOL: deployed on solana (CoinGecko)
Kai Ching by Cosmose,,,,TRUE,,,,,,,https://cosmose.ai/,https://x.com/CosmoseAI,@CosmoseAI; https://x.com/CosmoseAI,,Dapp; Payment,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Shop with KAI-CHING (KAIC) to save time and money!,website-scan: scanned
Infinex,TRUE,,,,TRUE,,,,,,https://linktr.ee/infinex.xyz,https://x.com/infinex_app,@infinex_app; https://x.com/infinex_app,https://t.me/infinexbroadcast,Dapp; NEAR Intents; DEX; Wallet,,,Active; ✅ Found,Infinex,1316,https://infinex.xyz; https://admin.thegrid.id/profiles/?rootId=1316,name; Name: Profile,NEAR; near,NEARCatalog; CoinGecko,The UX layer. Building the crypto everything app | Grid confirms: USDT; USDC; SOL | Solana deployment (CoinGecko),Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by) | SOL: deployed on solana (CoinGecko)
Calimero Network,,,,TRUE,,,,,,,https://calimero.network/,https://twitter.com/CalimeroNetwork,@CalimeroNetwork; https://twitter.com/CalimeroNetwork,https://t.me/CalimeroOfficial,Ecosystem Support; Service Provider,,,Active; ✅ Found,Calimero,id1741256266-1w_n2qG5TPal2BJ334UHGg,https://www.calimero.network; https://admin.thegrid.id/profiles/?rootId=id1741256266-1w_n2qG5TPal2BJ334UHGg,name; Name: Product,NEAR; near,NEARCatalog,Calimero enhances enterprise blockchain with NEAR Protocol's scalability and privacy; offering customizable solutions for secure data management and seamless application deployment without compromising confidentiality,website-scan: scanned
Sender AI,,,,TRUE,,,,,,,https://www.sender.org/,https://x.com/Sender_AI,@Sender_AI; https://x.com/Sender_AI,https://t.me/sender_community,Infrastructure; AI; Wallet,,,Active; ✅ Found,Sender Network,id1767779267-SlP11cjSTxeZiORwJHDnKA,https://www.sender.org; https://admin.thegrid.id/profiles/?rootId=id1767779267-SlP11cjSTxeZiORwJHDnKA,url; URL: urlMain,NEAR; near,NEARCatalog,AI Agents powering decentralized blockchain operations for Web3 | Browser extension wallet built on NEAR.,website-scan: scanned
AIDOLS,,,,TRUE,,,,,,,https://aidols.bot/,https://x.com/AIDOLS_agent/,@AIDOLS_agent; https://x.com/AIDOLS_agent/,https://t.me/+5nwC-yefJh00Mzhi,Infrastructure; AI; Launchpad,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Launch; Trade & Monetize AI Agents,website-scan: scanned
Nearkat,,,,TRUE,,,,,,,http://nearkat.com/,https://x.com/NearKatToken,@NearKatToken; https://x.com/NearKatToken,https://t.me/nearkat,Other; Memecoin,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Nearkat is a fan-meme based on NEAR's original Mascot. CA: kat.token0.near,website-scan: scanned
Moon Shot,,,,TRUE,,,,,,,https://moonshot.win/,https://twitter.com/moonshotwin,@moonshotwin; https://twitter.com/moonshotwin,,Dapp; Game; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Crash Game on NEAR Protocol! Multiply your crypto instantly with the #1 cross chain crash game!,website-scan: scanned
BlockSec,,,,TRUE,TRUE,,,,,,https://blocksec.com/,https://twitter.com/BlockSecTeam,@BlockSecTeam; https://twitter.com/BlockSecTeam,https://t.me/BlockSecTeam,Utilities; Audit; Security,,,Active; ✅ Found,BlockSec,id1749016433-WCi5aed0T-mXSMrG-vcOPQ,https://blocksec.com; https://admin.thegrid.id/profiles/?rootId=id1749016433-WCi5aed0T-mXSMrG-vcOPQ,name; URL: urlMain,NEAR; near,NEARCatalog,Smart Contract & EVM Chain Audit | Boost Web3 through Next-Gen Security & Usability Innovations | [PROMOTED from website-scan] stablecoin mentions | web3 signals (swap; liquidity; defi),website-scan: scanned | promoted: website-scan
AuditOne,,,,TRUE,,,,,,,https://audit.one/,https://x.com/AuditOne_,@AuditOne_; https://x.com/AuditOne_,https://t.me/AuditOne,Utilities; Audit; Security,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,Auditor aggregator platform | (fuzzy dedup: merged from AuditOne; AUDIT.one) | [PROMOTED from website-scan] web3 signals (staking),website-scan: scanned | promoted: website-scan
OtterSec,,,,TRUE,,,,,,,,,,,Utilities; Audit; Security,,,Active; ✅ Found,OtterSec,id1742807976-onkOzvTNTN-0Xmssvd01Lw,https://osec.io; https://admin.thegrid.id/profiles/?rootId=id1742807976-onkOzvTNTN-0Xmssvd01Lw,name; Name: Profile,NEAR; near,NEARCatalog,Audits that protect blockchain ideas | (fuzzy dedup: merged from OtterSec; Ottersec),
Guvenkaya,,,,TRUE,,,,,,,https://www.guvenkaya.co/,https://x.com/guvenkaya_sec,@guvenkaya_sec; https://x.com/guvenkaya_sec,,Utilities; Audit; Security,,,Active; ✅ Found,Guvenkaya,id1742806681-ZNN1rRuLT46FMY5TnQ5yeA,https://www.guvenkaya.co; https://admin.thegrid.id/profiles/?rootId=id1742806681-ZNN1rRuLT46FMY5TnQ5yeA,name; URL: urlMain,NEAR; near,NEARCatalog,Guvenkaya is a security research firm specializing in Rust security; Web3 security of Rust-based protocols; and Web2 security | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
Dune Analytics,TRUE,,,TRUE,,,,,,,https://dune.com/home,https://x.com/Dune,@Dune; https://x.com/Dune,,Utilities; Analytics; Developer Tooling; Productivity Tool,,,Active; ✅ Found,Dune,1336,https://dune.com; https://admin.thegrid.id/profiles/?rootId=1336,batch-url; Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,Query; visualize; share and export data across 26+ blockchains — build together with Web3’s biggest data community | Grid confirms: USDT,website-scan: scanned | Grid: Dune (profile) | expanded-grid
ZOLANEAR,,,,TRUE,,,,,,,https://zolanear.xyz/,https://x.com/Zolanear_,@Zolanear_; https://x.com/Zolanear_,https://t.me/zolanear,Dapp; NEAR Intents; DEX; Memecoin,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The Math is Simple: Z (ZEC) + OLA (SOL) +NEAR = ZOLANEAR,website-scan: scanned
Flipside 📈,TRUE,,,TRUE,,,,,,,https://flipsidecrypto.xyz/,https://twitter.com/flipsidecrypto,@flipsidecrypto; https://twitter.com/flipsidecrypto,https://t.me/+47_lWrR-vsI0NWNh,Infrastructure; Analytics,,,Active; ✅ Found,Flipside,1857,https://flipsidecrypto.com; https://admin.thegrid.id/profiles/?rootId=1857,batch-name; Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,Get paid to learn about protocols & chains; and level up to become a crypto-SQL superstar | Grid confirms: USDT,website-scan: scanned | Grid: Flipside (profile) | expanded-grid
NEAR Protocol Rewards SDK,,,,TRUE,,,,,,,https://github.com/jbarnes850/near-protocol-rewards,,,,Utilities; Developer Tooling; Funding Node; Productivity Tool,,,❌ Not found,,,,,NEAR; near,NEARCatalog,A transparent; metric-based rewards system for NEAR projects that directly ties incentives to development activity and user adoption,website-scan: scanned
RWA.xyz,,,,TRUE,,,,,,,https://www.rwa.xyz/,https://x.com/RWA_xyz,@RWA_xyz; https://x.com/RWA_xyz,https://t.me/rwa_xyz,Dapp; RWA,,,Active; ✅ Found,RWA.xyz,id1763355711-1KzCVGsVQuqqByUF-iMevw,https://rwa.xyz; https://admin.thegrid.id/profiles/?rootId=id1763355711-1KzCVGsVQuqqByUF-iMevw,name; Name: Profile,NEAR; near,NEARCatalog,Every tokenized real-world asset; in one place,website-scan: scanned
Allstake - Omnichain Restaking; Trustless Scaling,,,,TRUE,,,,,,,,,,,Infrastructure; Bitcoin; Chain Abstraction; Restaking,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The first Omnichain Meshed Restaking protocol that enables cross-chain restaking and trustless security,
DAI by MakerDAO,,,,TRUE,,,,,,,https://makerdao.com/,https://x.com/SkyEcosystem,@SkyEcosystem; https://x.com/SkyEcosystem,https://t.me/makerdaoOfficial,Utilities; Stablecoin,,,✅ Found,Sky,3669,https://admin.thegrid.id/profiles/?rootId=3669,Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog,Dai is a stablecoin issued by Maker Protocol,website-scan: scanned
NEAR faucet,TRUE,,,TRUE,TRUE,,,,,,https://dev.near.org/faucet,,,,Utilities; Developer Support; Developer Tooling; Productivity Tool,,,❌ Not found,,,,,NEAR; near,NEARCatalog,NEAR Faucet - testnet NEAR faucet | [PROMOTED from website-scan] USDT keywords (usdt; tether) | USDC keywords (usdc),website-scan: scanned | promoted: website-scan
Seda,,,,TRUE,,,,,,,https://www.seda.xyz/,https://twitter.com/sedaprotocol,@sedaprotocol; https://twitter.com/sedaprotocol,https://t.me/sedaprotocol,Infrastructure; Developer Tooling,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The Modular Data Layer | SEDA is a new standard for modular data transport. Any data type; for all networks | [PROMOTED from website-scan] web3 signals (dex),website-scan: scanned | promoted: website-scan
NEAR Horizon,,,,TRUE,,,,,,,https://app.hzn.xyz/,https://twitter.com/nearhorizon,@nearhorizon; https://twitter.com/nearhorizon,,Ecosystem Support; Accelerator; BOS,,,❌ Not found,,,,,NEAR; near,NEARCatalog,An early stage accelerator empowering Web3 founders to build; connect; and grow,website-scan: scanned
RSS3 🟦,,,,TRUE,,,,,,,https://rss3.io/,https://x.com/rss3_,@rss3_; https://x.com/rss3_,https://link.rss3.io/telegram,Infrastructure; AI; Data Availability,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The Open Information Layer - An Environment for (truly) Open AI; Open Search; and Open Social. Building for #openinformation & #openweb,website-scan: scanned
Wormhole,TRUE,,,,TRUE,,,,,,https://wormholenetwork.com/,https://x.com/wormholecrypto,@wormholecrypto; https://x.com/wormholecrypto,https://t.me/wormholecrypto,Utilities,,,Active; ✅ Found,Wormhole,18,https://wormhole.com; https://admin.thegrid.id/profiles/?rootId=18,name; Name: Profile,NEAR; near,NEARCatalog; CoinGecko; AwesomeNEAR; CoinGecko,Interoperability protocol powering the seamless transfer of value and information across 12 high value chains | Grid confirms: USDT; USDC; SOL | Solana deployment (CoinGecko),Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by) | SOL: deployed on solana (CoinGecko)
Request Finance,TRUE,,,,TRUE,,,,,,https://www.request.finance/,https://twitter.com/RequestFinance,@RequestFinance; https://twitter.com/RequestFinance,,Utilities; Payment,,,Active; ✅ Found,Request Finance,id1754086051-ae1Ijel9QFWRdYfNyLPSHg,https://www.request.finance; https://admin.thegrid.id/profiles/?rootId=id1754086051-ae1Ijel9QFWRdYfNyLPSHg,name; URL: urlMain,NEAR; near,NEARCatalog,Crypto invoicing & bill payment; Crypto payroll & expenses | Grid confirms: USDT; USDC | [PROMOTED from website-scan] stablecoin mentions | web3 signals (bridge; liquidity),Grid: USDT (supported_by); USDC (supported_by) | website-scan: scanned | promoted: website-scan
NEAR Tinker Union,,,,TRUE,,,,,,,https://tinkerunion.com/,https://twitter.com/NearTinkerUnion,@NearTinkerUnion; https://twitter.com/NearTinkerUnion,,Dapp; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,A union of 3;333 tinkers has formed to tink extraordinary things for the growing ecosystem,website-scan: scanned
Doge swap,,,,TRUE,,,,,,,https://dogecoinswap.org/,https://x.com/NEARProtocol/status/1865033160645361887,@NEARProtocol; https://x.com/NEARProtocol/status/1865033160645361887,,Dapp; NEAR Intents; DEX,,,❌ Not found,,,,,NEAR; near,NEARCatalog,DOGESwap - swap native DOGE for BTC; NEAR; ETH; SOL; and more!,website-scan: scanned
Ringfence,,,,TRUE,,,,,,,https://www.ringfence.ai/,https://x.com/RingfenceAI,@RingfenceAI; https://x.com/RingfenceAI,,Other; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,A product company focused on personal artificial intelligence,website-scan: scanned
LNC Watch Bot,,,,TRUE,,,,,,,https://learnnear.club/,https://twitter.com/LearnNear,@LearnNear; https://twitter.com/LearnNear,https://t.me/LearnNEARClub,Utilities; Analytics; Bot,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Learn how to use and build on NEAR and Earn NEAR,website-scan: scanned
TriSolaris,,,,TRUE,,,,,,,https://www.trisolaris.io/,https://x.com/trisolarislabs,@trisolarislabs; https://x.com/trisolarislabs,https://t.me/TrisolarisLabs,Dapp; Aurora; DeFi; DEX,,,❌ Not found,,,,,NEAR; near,NEARCatalog; AwesomeNEAR,Trisolaris is #1 Dex on the Aurora engine; an EVM compatible blockchain running in the near ecosystem | (fuzzy dedup: merged from TriSolaris; Trisolaris),website-scan: scanned
nCaptcha,,,,TRUE,,,,,,,https://learnnear.club/how-ncaptcha-fights-spam/,https://twitter.com/ncaptcha_xyz,@ncaptcha_xyz; https://twitter.com/ncaptcha_xyz,https://t.me/LearnNEARClub,Utilities; Productivity Tool,,,❌ Not found,,,,,NEAR; near,NEARCatalog,web3 way to fight spam,website-scan: scanned
Backdrop Build,,,,TRUE,,,,,,,https://backdropbuild.com,https://x.com/withBackdrop,@withBackdrop; https://x.com/withBackdrop,,Ecosystem Support; Developer Support,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Powering builder energy Where builders shape the frontier of tech; together | [PROMOTED from website-scan] SOL keywords (solana),website-scan: scanned | promoted: website-scan
AAXXII,,,,TRUE,,,,,,,https://aaxxii.com/,https://twitter.com/aaxxiilaunchpad,@aaxxiilaunchpad; https://twitter.com/aaxxiilaunchpad,https://t.me/+TThfktdWnM97ExsF,Ecosystem Support; Accelerator,,,❌ Not found,,,,,NEAR; near,NEARCatalog,AAXXII is your digital finance partner for scaling; funding; and expert advice in both traditional and token economies; raising £250k to £20m,website-scan: scanned
Hito Wallet,,,,TRUE,,,,,,,https://hito.xyz/,https://twitter.com/hito_xyz,@hito_xyz; https://twitter.com/hito_xyz,https://t.me/Hito_wallet_news/,Infrastructure; Wallet,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Sleek easy-to-use open source wallet,website-scan: scanned
Rabby Wallet,TRUE,,,,,,,,,,https://rabby.io/,https://x.com/Rabby_io,@Rabby_io; https://x.com/Rabby_io,https://t.me/rabby_io,Infrastructure; EVM; Wallet,,,Active; ✅ Found,Rabby Wallet,1003,https://rabby.io; https://admin.thegrid.id/profiles/?rootId=1003,name; URL: urlMain,NEAR; near,NEARCatalog; AwesomeNEAR,The game-changing wallet for Ethereum and all EVM chains | Grid confirms: USDT,Grid: USDT (supported_by) | website-scan: scanned
ShardDog,,,,TRUE,,,,,,,https://shard.dog/,https://twitter.com/sharddog,@sharddog; https://twitter.com/sharddog,,Dapp; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Connecting KeyPom to REST APIs on NEAR,website-scan: scanned
Jump DeFi,,,,TRUE,,,,,,,https://www.jumpdefi.xyz/,https://twitter.com/JumpDeFi,@JumpDeFi; https://twitter.com/JumpDeFi,,Other,,,❌ Not found,,,,,NEAR; near,NEARCatalog,The first one-stop decentralized finance platform on NEAR | [PROMOTED from website-scan] web3 signals (swap; dex; liquidity; yield; staking),website-scan: scanned | promoted: website-scan
Dappradar,TRUE,,,,TRUE,,,,,,https://dappradar.com/,https://twitter.com/dappradar,@dappradar; https://twitter.com/dappradar,https://t.me/joinchat/GdhNjQ8PMhCZ_a0CZutmXg,Utilities; Analytics,,,Inactive; ✅ Found,DappRadar,id1761763173-EC09GkmbRWaCMBmpQKUMoA,https://dappradar.com; https://admin.thegrid.id/profiles/?rootId=id1761763173-EC09GkmbRWaCMBmpQKUMoA,name; URL: urlMain,NEAR; near,NEARCatalog,The World's Dapp Store; home of $RADAR & the most trusted source for exploring dapp data | Grid confirms: USDT; USDC,Grid: USDT (supported_by); USDC (supported_by) | website-scan: scanned
Cosmose,,,,TRUE,,,,,,,https://cosmose.ai/,https://twitter.com/CosmoseAI,@CosmoseAI; https://twitter.com/CosmoseAI,,Dapp; AI; Loyalty,,,❌ Not found,,,,,NEAR; near,NEARCatalog,AI-Powered Shopping; Unlock Seamless Experiences,website-scan: scanned
Rubic,TRUE,,,,TRUE,,,,,,https://rubic.exchange/,https://x.com/CryptoRubic,@CryptoRubic; https://x.com/CryptoRubic,https://t.me/cryptorubic_chat,Dapp; NEAR Intents; DEX,,,Active; ✅ Found,Rubic,id1762957381-EyQqoI6sQc-dqPSwA5jQ3w,https://rubic.exchange; https://admin.thegrid.id/profiles/?rootId=id1762957381-EyQqoI6sQc-dqPSwA5jQ3w,name; URL: urlMain,NEAR; near,NEARCatalog; https://defillama.com/chain/Near; AwesomeNEAR,Multi-Chain Swap Protocol | Grid confirms: USDT; USDC; SOL,Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by) | website-scan: scanned
Artemis,TRUE,,,,TRUE,,,,,,https://www.artemis.xyz/,https://twitter.com/Artemis,@Artemis; https://twitter.com/Artemis,https://t.me/+u8zCFL1imI0zMjUx,Utilities; Analytics,,,Active; ✅ Found,Artemis,3674,https://www.artemisanalytics.com; https://admin.thegrid.id/profiles/?rootId=3674,name; Name: Profile,NEAR; near,NEARCatalog,Artemis; comprising experts from firms like Ribbit; Venmo; and Blackrock; provides institutional-grade on-chain metrics; transforming blockchain data into clear insights to help anyone understand market dynamics | Grid confirms: USDT; USDC | [PROMOTED from website-scan] USDT keywords (tether) | SOL keywords (solana) | stablecoin mentions,Grid: USDT (supported_by); USDC (supported_by) | website-scan: scanned | promoted: website-scan
Lava Network,,,,TRUE,,,,,,,https://www.lavanet.xyz/,https://twitter.com/lavanetxyz,@lavanetxyz; https://twitter.com/lavanetxyz,https://t.me/officiallavanetwork?utm_medium=social&utm_source=linktree&utm_campaign=telegram,Infrastructure; Indexer; RPC; Validator,,,Active; ✅ Found,Lava Protocol,id1741256357-FKLFLn_QSvinFiVv3Yki-Q,https://www.lavanet.xyz; https://admin.thegrid.id/profiles/?rootId=id1741256357-FKLFLn_QSvinFiVv3Yki-Q,url; URL: urlMain,NEAR; near,NEARCatalog,Lava is a modular data network giving developers scalable access to any rollup or blockchain. Build whatever; wherever | [PROMOTED from website-scan] STRK keywords (starknet),website-scan: scanned | promoted: website-scan
USDT,TRUE,,,,,,,,,,https://tether.to/en/tether-usdt-launches-on-near-network/,https://twitter.com/Tether_to,@Tether_to; https://twitter.com/Tether_to,,Dapp; DeFi; Stablecoin,,,Active; ❌ Not found,USDT0,id1751639472-NB9ldbkdTkeCF-qkQu8pxw,https://usdt0.to,name,NEAR; near,NEARCatalog,Cryptocurrency stablecoin; launched by the company Tether Limited Inc | Grid confirms: USDT,Grid: USDT (supported_by) | website-scan: scanned
USDC,TRUE,,,,,,,,,,https://www.circle.com/,https://twitter.com/circle,@circle; https://twitter.com/circle,,Dapp; DeFi; Stablecoin,,,Active; ✅ Found,Circle,1116,https://www.circle.com; https://admin.thegrid.id/profiles/?rootId=1116,url; URL: urlMain,NEAR; near,NEARCatalog,USDC Stablecoin; Payments & Treasury Infrastructure | Grid confirms: USDC | [PROMOTED from website-scan] USDC keywords (usdc) | stablecoin mentions,Grid: USDC (supported_by) | website-scan: scanned | promoted: website-scan
NEKO,,,,TRUE,,,,,,,https://www.nekotoken.xyz/,https://x.com/nekotoken_xyz,@nekotoken_xyz; https://x.com/nekotoken_xyz,,Dapp; Memecoin; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,Meme coin and creator empowerment token on NEAR | [PROMOTED from website-scan] web3 signals (dex; defi),website-scan: scanned | promoted: website-scan
Banyan Collective,,,,TRUE,,,,,,,,https://x.com/Banyan_NEAR,@Banyan_NEAR; https://x.com/Banyan_NEAR,https://t.me/+LJ5pSZMet41mYzYx,Ecosystem Support; Community; Regional Hub,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Scaling NEAR Protocol in the United States,
Phoenix Bonds,,,,TRUE,,,,,,,https://phoenixbonds.org/,https://x.com/LinearProtocol,@LinearProtocol; https://x.com/LinearProtocol,,Dapp; DeFi; Liquid Staking; Validator,,,❌ Not found,,,,,NEAR; near,NEARCatalog; https://defillama.com/chain/Near,A novel bonding mechanism built on LiNEAR Protocol,website-scan: scanned
PlayEmber,,,,TRUE,,,,,,,https://playember.com/,https://twitter.com/play_ember,@play_ember; https://twitter.com/play_ember,,Dapp; Game; Mobile,,,❌ Not found,,,,,NEAR; near,NEARCatalog,At PlayEmber; we transform ideas into hit games; leveraging our expertise and 100 million downloads to add Play & Earn features through Ember Coin and offer F2P game studios the technology to join our ecosystem,website-scan: scanned
DeFiShards,,,,TRUE,,,,,,,https://www.defishards.xyz/,https://twitter.com/DeFiShardsxyz,@DeFiShardsxyz; https://twitter.com/DeFiShardsxyz,https://t.me/HouseofShards,Dapp; DeFi; NFT,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Empowering People By Enabling True Ownership. Your one stop DeFi x NFT platform | [PROMOTED from website-scan] web3 signals (defi),website-scan: scanned | promoted: website-scan
DapDap,,,,TRUE,,,,,,,https://www.dapdap.net/,https://twitter.com/DapDapMeUp,@DapDapMeUp; https://twitter.com/DapDapMeUp,https://t.me/DapDapDiscussion,Dapp; EVM; BOS; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Your Universal Gateway into Ethereum L2s,website-scan: scanned
NEAR Vietnam Hub,,,,TRUE,,,,,,,https://linktr.ee/nearvietnamhub,https://twitter.com/NearVietnamHub,@NearVietnamHub; https://twitter.com/NearVietnamHub,https://t.me/nearvietnamofficial,Ecosystem Support; Community; Regional Hub,,,❌ Not found,,,,,NEAR; near,NEARCatalog,NEAR Vietnam Regional Hub | [PROMOTED from website-scan] web3 signals (defi),website-scan: scanned | promoted: website-scan
ShillGPT,,,,TRUE,,,,,,,https://near.org/shillgpt.near/widget/Index?referral_id=meteorkent.near,https://twitter.com/shill_gpt,@shill_gpt; https://twitter.com/shill_gpt,,Dapp; AI; BOS; DeFi,,,❌ Not found,,,,,NEAR; near,NEARCatalog,If you can shill your favorite meme coin to AI; then you can shill it to the entire universe,website-scan: scanned
Meson,TRUE,,,,TRUE,,,,,,https://meson.fi/,https://x.com/mesonfi,@mesonfi; https://x.com/mesonfi,https://t.me/mesonfi,Infrastructure; EVM; Aurora; Bridge,,,Active; ✅ Found,Meson Finance,id1762178208-1Wky1OtgTpSLSpeSsSO1nw,https://meson.fi; https://admin.thegrid.id/profiles/?rootId=id1762178208-1Wky1OtgTpSLSpeSsSO1nw,name; URL: urlMain,NEAR; near,NEARCatalog; AwesomeNEAR,Meson is the faster and safer way to execute low-cost; zero-slippage cross-chain swaps | Grid confirms: USDT; USDC | [PROMOTED from website-scan] USDT keywords (usdt) | USDC keywords (usdc),Grid: USDT (supported_by); USDC (supported_by) | website-scan: scanned | promoted: website-scan
Nillion,,,,TRUE,,,,,,,https://nillion.com/,https://twitter.com/nillionnetwork,@nillionnetwork; https://twitter.com/nillionnetwork,https://t.me/nillionnetwork,Infrastructure; AI,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Humanity's first blind computer,website-scan: scanned
DRPC,,,,TRUE,,,,,,,https://drpc.org/,https://twitter.com/drpcorg,@drpcorg; https://twitter.com/drpcorg,,Infrastructure; RPC,,,Active; ✅ Found,dRPC,id1741256296-il1YwH8TRXKFtP-UWUrgQg,https://drpc.org; https://admin.thegrid.id/profiles/?rootId=id1741256296-il1YwH8TRXKFtP-UWUrgQg,name; URL: urlMain,NEAR; near,NEARCatalog,Decentralized RPC node provider for mutiple chains | [PROMOTED from website-scan] SOL keywords (solana) | STRK keywords (starknet),website-scan: scanned | promoted: website-scan
Transak,TRUE,,,,TRUE,,,,,,https://transak.com/,https://twitter.com/Transak,@Transak; https://twitter.com/Transak,https://t.me/transakfinance,Utilities; On/Off-Ramp; Payment,,,Active; ✅ Found,Transak,id1754903853-ZN6QNQKtRrqTmUIuZLdVUQ,https://transak.com; https://admin.thegrid.id/profiles/?rootId=id1754903853-ZN6QNQKtRrqTmUIuZLdVUQ,name; URL: urlMain,NEAR; near,NEARCatalog,Enable users to buy or sell crypto from your app | Grid confirms: USDT; USDC; SOL | [PROMOTED from website-scan] USDT keywords (usdt; tether) | USDC keywords (usdc) | SOL keywords (solana) | stablecoin mentions,Grid: USDT (supported_by); USDC (supported_by); SOL (supported_by) | website-scan: scanned | promoted: website-scan
Blunt DAO,,,,TRUE,,,,,,,https://www.bluntdao.org/,https://x.com/bluntdao,@bluntdao; https://x.com/bluntdao,https://t.me/+t2nnbUov1sRhMTgx,Dapp; Ecosystem Support; DAO,,,❌ Not found,,,,,NEAR; near,NEARCatalog; CoinGecko,Unlimited sesh fund; throw down starting 4/20 . BluntDAO is the biggest IRL onboarding movement in Web3; get validated by an OG NEAR you. On $SOL $NEAR $BASE | Solana deployment (CoinGecko),SOL: deployed on solana (CoinGecko)
MoonPay,TRUE,,,,,,,,,,https://www.moonpay.io,https://x.com/moonpay,@moonpay; https://x.com/moonpay,,Infrastructure; Payment,,,Active; ✅ Found,MoonPay,1214,https://www.moonpay.com; https://admin.thegrid.id/profiles/?rootId=1214,name; Social Handle: Socials Lens - Twitter / X,NEAR; near,NEARCatalog; AwesomeNEAR,Growing the crypto economy | Grid confirms: USDT; SOL | [PROMOTED from website-scan] SOL keywords (solana) | ADA keywords (cardano),Grid: USDT (supported_by); SOL (supported_by) | website-scan: scanned | promoted: website-scan
ZokshPay,,,,TRUE,,,,,,,http://moopay.live,https://twitter.com/zokshpay/,@zokshpay; https://twitter.com/zokshpay/,,Infrastructure; Payment,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Zoksh is a plug-and-play solution for all businesses. Accept payments anytime; anywhere; in any currency; Fiat or Crypto,website-scan: scanned
NearZombies,,,,TRUE,,,,,,,NearZombies.io,https://twitter.com/NearZombies,@NearZombies; https://twitter.com/NearZombies,https://t.me/nearzombies,Dapp; Education,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Earn while learning,website-scan: scanned
Pixel Tokens,,,,TRUE,,,,,,,https://pd.marmaj.org/cryptoheroes,https://twitter.com/PixelDapps,@PixelDapps; https://twitter.com/PixelDapps,https://t.me/pixeltoken_community,Dapp; Game,,,❌ Not found,,,,,NEAR; near,NEARCatalog,Cryptoheroes is a blockchain game where players engage in PvE looting; trading; and forging items; battling bosses to earn PXT; with dangerous dungeons; epic raids; and weekly rewards for top performers; alongside marketplace and item improvement features,website-scan: scanned
